variable,dtype,missing_pct,relevance_to_problem
median_rent,float64,4.85,★
median_rooms,float64,1.46,★
overcrowded_share,float64,0.97,★
recent_movers_share,float64,0.97,★
rent_burden35_share,float64,0.97,★
renter_share,float64,0.97,★
vacancy_rate_rental,float64,0.97,★
ALAND,int64,0.0,
AWATER,int64,0.0,
COUNTYFP,int64,0.0,
DP04_0001E,int64,0.0,
DP04_0002E,int64,0.0,
DP04_0003E,int64,0.0,
DP04_0004E,float64,2.91,
DP04_0005E,float64,0.97,
DP04_0006E,int64,0.0,
DP04_0007E,int64,0.0,
DP04_0008E,int64,0.0,
DP04_0009E,int64,0.0,
DP04_0010E,int64,0.0,
DP04_0011E,int64,0.0,
DP04_0012E,int64,0.0,
DP04_0013E,int64,0.0,
DP04_0014E,int64,0.0,
DP04_0015E,int64,0.0,
DP04_0016E,int64,0.0,
DP04_0017E,int64,0.0,
DP04_0018E,int64,0.0,
DP04_0019E,int64,0.0,
DP04_0020E,int64,0.0,
DP04_0021E,int64,0.0,
DP04_0022E,int64,0.0,
DP04_0023E,int64,0.0,
DP04_0024E,int64,0.0,
DP04_0025E,int64,0.0,
DP04_0026E,int64,0.0,
DP04_0027E,int64,0.0,
DP04_0028E,int64,0.0,
DP04_0029E,int64,0.0,
DP04_0030E,int64,0.0,
DP04_0031E,int64,0.0,
DP04_0032E,int64,0.0,
DP04_0033E,int64,0.0,
DP04_0034E,int64,0.0,
DP04_0035E,int64,0.0,
DP04_0036E,int64,0.0,
DP04_0037E,float64,1.46,
DP04_0038E,int64,0.0,
DP04_0039E,int64,0.0,
DP04_0040E,int64,0.0,
DP04_0041E,int64,0.0,
DP04_0042E,int64,0.0,
DP04_0043E,int64,0.0,
DP04_0044E,int64,0.0,
DP04_0045E,int64,0.0,
DP04_0046E,int64,0.0,
DP04_0047E,int64,0.0,
DP04_0048E,float64,3.4,
DP04_0049E,float64,0.97,
DP04_0050E,int64,0.0,
DP04_0051E,int64,0.0,
DP04_0052E,int64,0.0,
DP04_0053E,int64,0.0,
DP04_0054E,int64,0.0,
DP04_0055E,int64,0.0,
DP04_0056E,int64,0.0,
DP04_0057E,int64,0.0,
DP04_0058E,int64,0.0,
DP04_0059E,int64,0.0,
DP04_0060E,int64,0.0,
DP04_0061E,int64,0.0,
DP04_0062E,int64,0.0,
DP04_0063E,int64,0.0,
DP04_0064E,int64,0.0,
DP04_0065E,int64,0.0,
DP04_0066E,int64,0.0,
DP04_0067E,int64,0.0,
DP04_0068E,int64,0.0,
DP04_0069E,int64,0.0,
DP04_0070E,int64,0.0,
DP04_0071E,int64,0.0,
DP04_0072E,int64,0.0,
DP04_0073E,int64,0.0,
DP04_0074E,int64,0.0,
DP04_0075E,int64,0.0,
DP04_0076E,int64,0.0,
DP04_0077E,int64,0.0,
DP04_0078E,int64,0.0,
DP04_0079E,int64,0.0,
DP04_0080E,int64,0.0,
DP04_0081E,int64,0.0,
DP04_0082E,int64,0.0,
DP04_0083E,int64,0.0,
DP04_0084E,int64,0.0,
DP04_0085E,int64,0.0,
DP04_0086E,int64,0.0,
DP04_0087E,int64,0.0,
DP04_0088E,int64,0.0,
DP04_0089E,float64,5.34,
DP04_0090E,int64,0.0,
DP04_0091E,int64,0.0,
DP04_0092E,int64,0.0,
DP04_0093E,int64,0.0,
DP04_0094E,int64,0.0,
DP04_0095E,int64,0.0,
DP04_0096E,int64,0.0,
DP04_0097E,int64,0.0,
DP04_0098E,int64,0.0,
DP04_0099E,int64,0.0,
DP04_0100E,int64,0.0,
DP04_0101E,float64,6.8,
DP04_0102E,int64,0.0,
DP04_0103E,int64,0.0,
DP04_0104E,int64,0.0,
DP04_0105E,int64,0.0,
DP04_0106E,int64,0.0,
DP04_0107E,int64,0.0,
DP04_0108E,int64,0.0,
DP04_0109E,float64,19.9,
DP04_0110E,int64,0.0,
DP04_0111E,int64,0.0,
DP04_0112E,int64,0.0,
DP04_0113E,int64,0.0,
DP04_0114E,int64,0.0,
DP04_0115E,int64,0.0,
DP04_0116E,int64,0.0,
DP04_0117E,int64,0.0,
DP04_0118E,int64,0.0,
DP04_0119E,int64,0.0,
DP04_0120E,int64,0.0,
DP04_0121E,int64,0.0,
DP04_0122E,int64,0.0,
DP04_0123E,int64,0.0,
DP04_0124E,int64,0.0,
DP04_0125E,int64,0.0,
DP04_0126E,int64,0.0,
DP04_0127E,int64,0.0,
DP04_0128E,int64,0.0,
DP04_0129E,int64,0.0,
DP04_0130E,int64,0.0,
DP04_0131E,int64,0.0,
DP04_0132E,int64,0.0,
DP04_0133E,int64,0.0,
DP04_0134E,float64,4.85,
DP04_0135E,int64,0.0,
DP04_0136E,int64,0.0,
DP04_0137E,int64,0.0,
DP04_0138E,int64,0.0,
DP04_0139E,int64,0.0,
DP04_0140E,int64,0.0,
DP04_0141E,int64,0.0,
DP04_0142E,int64,0.0,
DP04_0143E,int64,0.0,
FUNCSTAT,object,0.0,
GEOID,int64,0.0,
GEOIDFQ,object,0.0,
GIS_ID,object,0.0,
GLOBALID,object,0.0,
INTPTLAT,float64,0.0,
INTPTLON,float64,0.0,
MTFCC,object,0.0,
NAME,float64,0.0,
NAMELSAD,object,0.0,
OBJECTID,int64,0.0,
SE_ANNO_CAD_DATA,float64,100.0,
SHAPEAREA,int64,0.0,
SHAPELEN,int64,0.0,
STATEFP,int64,0.0,
TRACTCE,int64,0.0,
bed_0_share,float64,0.97,
bed_1_share,float64,0.97,
bed_2_share,float64,0.97,
bed_3_share,float64,0.97,
bed_4_share,float64,0.97,
bed_5p_share,float64,0.97,
owner_share,float64,0.97,
